Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021/11/6 1:04,28.6
1,Waseda_dry,2021/11/6 1:04,27.3
2,Waseda_dry,2021/11/6 1:05,34.6
3,Waseda_dry,2021/11/6 1:05,41.8
4,Waseda_dry,2021/11/6 1:05,57.2
5,Waseda_dry,2021/11/6 1:05,68.8
6,Waseda_dry,2021/11/6 1:05,60
7,Waseda_dry,2021/11/6 1:05,55.8
8,Waseda_dry,2021/11/6 1:05,60.4
9,Waseda_dry,2021/11/6 1:05,59.4
10,Waseda_dry,2021/11/6 1:05,75.1
11,Waseda_dry,2021/11/6 1:05,81
12,Waseda_dry,2021/11/6 1:05,90.2
13,Waseda_dry,2021/11/6 1:05,81.3
14,Waseda_dry,2021/11/6 1:06,57.1
15,Waseda_dry,2021/11/6 1:06,21.1
16,Waseda_dry,2021/11/6 1:06,47.9
,,,
,,,
,,,
