熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:31:51, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.20
2,"112,123",23.17
3,"112,124",23.31
4,"112,125",23.31
5,"112,126",23.44
6,"112,127",23.38
7,"112,128",23.34
8,"112,129",23.08
9,"112,130",23.40
10,"112,131",23.21
11,"112,132",23.26
12,"112,133",23.37
13,"112,134",23.32
14,"112,135",23.37
15,"112,136",23.44
16,"112,137",23.30
17,"112,138",23.36
18,"112,139",23.34
19,"112,140",23.33
20,"112,141",23.33
21,"112,142",23.48
22,"111,143",23.23
23,"111,144",23.36
24,"111,145",23.37
25,"111,146",23.32
26,"111,147",23.41
27,"111,148",23.29
28,"111,149",23.32
29,"111,150",23.41
30,"111,151",23.34
31,"111,152",23.52
32,"111,153",23.16
33,"111,154",23.38
34,"111,155",23.21
35,"111,156",23.28
36,"111,157",23.38
37,"111,158",23.54
38,"111,159",23.33
39,"111,160",23.32
40,"111,161",23.38
41,"111,162",23.32
42,"111,163",23.36
43,"110,164",23.30
44,"110,165",23.59
45,"110,166",23.58
46,"110,167",23.42
47,"110,168",23.36
48,"110,169",23.42
49,"110,170",23.42
50,"110,171",23.70
51,"110,172",23.39
52,"110,173",23.47
53,"110,174",23.40
54,"110,175",23.66
55,"110,176",23.29
56,"110,177",23.54
57,"110,178",23.13
58,"110,179",23.33
59,"110,180",23.45
60,"110,181",23.59
61,"110,182",23.42
62,"110,183",23.36
63,"109,184",23.45
64,"109,185",23.32
65,"109,186",23.60
66,"109,187",23.40
67,"109,188",23.52
68,"109,189",23.38
69,"109,190",23.39
70,"109,191",23.27
71,"109,192",23.56
72,"109,193",23.34
73,"109,194",23.40
74,"109,195",23.39
75,"109,196",23.30
76,"109,197",23.45
77,"109,198",23.30
78,"109,199",23.37
79,"109,200",23.32
80,"109,201",23.44
81,"109,202",23.52
82,"109,203",23.44
83,"109,204",23.61
84,"108,205",23.40
85,"108,206",23.36
86,"108,207",23.39
87,"108,208",23.29
88,"108,209",23.36
89,"108,210",23.36
90,"108,211",23.39
91,"108,212",23.36
92,"108,213",23.36
93,"108,214",23.22
94,"108,215",23.31
95,"108,216",23.26
96,"108,217",23.52
97,"108,218",23.23
98,"108,219",23.31
99,"108,220",23.33
100,"108,221",23.27
101,"108,222",23.28
102,"108,223",23.36
103,"108,224",23.45
104,"107,225",23.36
105,"107,226",23.44
106,"107,227",23.15
107,"107,228",23.36
108,"107,229",23.31
109,"107,230",23.29
110,"107,231",23.44
111,"107,232",23.37
112,"107,233",23.32
113,"107,234",23.59
114,"107,235",23.34
115,"107,236",23.26
116,"107,237",23.13
117,"107,238",23.27
118,"107,239",23.19
119,"107,240",23.34
120,"107,241",23.27
121,"107,242",23.58
122,"107,243",23.48
123,"107,244",23.23
124,"107,245",23.32
125,"106,246",23.32
126,"106,247",23.33
127,"106,248",23.27
128,"106,249",23.22
129,"106,250",23.30
130,"106,251",23.40
131,"106,252",23.36
132,"106,253",23.38
133,"106,254",23.42
134,"106,255",23.45
135,"106,256",23.31
136,"106,257",23.27
137,"106,258",23.36
