熱画像データ, AVIO_IR_20211105_1649.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:06:15, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"72,138",23.20
2,"73,138",23.26
3,"74,138",23.18
4,"75,138",23.11
5,"76,138",23.23
6,"77,138",23.00
7,"78,138",23.13
8,"79,138",23.13
9,"80,138",23.20
10,"81,138",23.36
11,"82,138",23.28
12,"83,138",23.15
13,"84,138",23.15
14,"85,138",23.16
15,"86,138",23.16
16,"87,138",23.18
17,"88,138",23.07
18,"89,138",22.99
19,"90,138",23.22
20,"91,138",23.32
21,"92,138",23.02
22,"93,138",23.36
23,"94,138",23.07
24,"95,138",23.06
25,"96,138",23.14
26,"97,138",23.14
27,"98,138",23.21
28,"99,138",23.00
29,"100,138",23.31
30,"101,138",23.40
31,"102,138",23.18
32,"103,138",23.18
33,"104,138",23.25
34,"105,138",23.20
35,"106,138",23.20
36,"107,138",23.16
37,"108,138",23.33
38,"109,138",23.29
39,"110,137",23.22
40,"111,137",23.19
41,"112,137",23.08
42,"113,137",23.20
43,"114,137",23.18
44,"115,137",23.13
45,"116,137",23.02
46,"117,137",23.38
47,"118,137",23.13
48,"119,137",23.20
49,"120,137",23.13
50,"121,137",23.05
51,"122,137",23.36
52,"123,137",23.23
53,"124,137",23.32
54,"125,137",23.28
55,"126,137",23.36
56,"127,137",23.36
57,"128,137",23.28
58,"129,137",23.25
59,"130,137",23.14
60,"131,137",23.19
61,"132,137",23.25
62,"133,137",23.23
63,"134,137",23.14
64,"135,137",23.38
65,"136,137",23.40
66,"137,137",23.56
67,"138,137",23.30
68,"139,137",23.37
69,"140,137",23.29
70,"141,137",23.49
71,"142,137",23.28
72,"143,137",23.18
73,"144,137",23.41
74,"145,137",23.21
75,"146,137",23.16
76,"147,136",23.41
77,"148,136",23.47
78,"149,136",23.39
79,"150,136",23.33
80,"151,136",23.30
81,"152,136",23.50
82,"153,136",23.34
83,"154,136",23.37
84,"155,136",23.29
85,"156,136",23.49
86,"157,136",23.38
87,"158,136",23.29
88,"159,136",23.40
89,"160,136",23.41
90,"161,136",23.32
91,"162,136",23.38
92,"163,136",23.41
93,"164,136",23.33
94,"165,136",23.50
95,"166,136",23.54
96,"167,136",23.18
97,"168,136",23.33
98,"169,136",23.48
99,"170,136",23.40
100,"171,136",23.21
101,"172,136",23.27
102,"173,136",23.30
103,"174,136",23.32
104,"175,136",23.34
105,"176,136",23.38
106,"177,136",23.38
107,"178,136",23.36
108,"179,136",23.36
109,"180,136",23.49
110,"181,136",23.30
111,"182,136",23.31
112,"183,136",23.39
113,"184,135",23.34
114,"185,135",23.37
115,"186,135",23.39
116,"187,135",23.38
117,"188,135",23.38
118,"189,135",23.30
119,"190,135",23.62
120,"191,135",23.33
121,"192,135",23.48
122,"193,135",23.39
123,"194,135",23.22
124,"195,135",23.28
125,"196,135",23.38
126,"197,135",23.51
127,"198,135",23.49
128,"199,135",23.56
129,"200,135",23.28
130,"201,135",23.40
131,"202,135",23.28
132,"203,135",23.37
133,"204,135",23.37
134,"205,135",23.34
135,"206,135",23.49
136,"207,135",23.40
137,"208,135",23.37
138,"209,135",23.33
139,"210,135",23.25
140,"211,135",23.25
141,"212,135",23.56
142,"213,135",23.45
143,"214,135",23.55
144,"215,135",23.25
145,"216,135",23.28
146,"217,135",23.63
147,"218,135",23.36
148,"219,135",23.36
149,"220,135",23.42
150,"221,134",23.41
151,"222,134",23.31
152,"223,134",23.29
153,"224,134",23.28
154,"225,134",23.33
155,"226,134",23.31
156,"227,134",23.29
157,"228,134",23.45
158,"229,134",23.53
159,"230,134",23.37
160,"231,134",23.36
161,"232,134",23.43
162,"233,134",23.27
163,"234,134",23.56
164,"235,134",23.28
165,"236,134",23.50
166,"237,134",23.38
167,"238,134",23.30
168,"239,134",23.50
169,"240,134",23.22
170,"241,134",23.13
171,"242,134",23.40
172,"243,134",23.45
173,"244,134",23.37
174,"245,134",23.50
175,"246,134",23.25
176,"247,134",23.39
177,"248,134",23.30
178,"249,134",23.31
179,"250,134",23.37
180,"251,134",23.50
181,"252,134",23.53
182,"253,134",23.47
183,"254,134",23.38
184,"255,134",23.38
185,"256,134",23.50
186,"257,134",23.50
187,"258,134",23.37
188,"259,133",23.29
189,"260,133",23.42
190,"261,133",23.55
191,"262,133",23.43
192,"263,133",23.43
193,"264,133",23.55
194,"265,133",23.58
195,"266,133",23.47
196,"267,133",23.41
197,"268,133",23.42
198,"269,133",23.45
199,"270,133",23.55
200,"271,133",23.50
201,"272,133",23.42
202,"273,133",23.48
203,"274,133",23.38
204,"275,133",23.55
205,"276,133",23.36
206,"277,133",23.63
207,"278,133",23.50
208,"279,133",23.42
209,"280,133",23.41
210,"281,133",23.47
211,"282,133",23.40
212,"283,133",23.42
213,"284,133",23.36
214,"285,133",23.47
215,"286,133",23.47
216,"287,133",23.53
217,"288,133",23.67
218,"289,133",23.48
219,"290,133",23.39
220,"291,133",23.48
221,"292,133",23.48
222,"293,133",23.51
223,"294,133",23.65
224,"295,133",23.43
225,"296,132",23.41
226,"297,132",23.41
227,"298,132",23.56
228,"299,132",23.52
229,"300,132",23.37
230,"301,132",23.47
231,"302,132",23.51
232,"303,132",23.49
233,"304,132",23.43
234,"305,132",23.34
235,"306,132",23.42
236,"307,132",23.53
237,"308,132",23.41
238,"309,132",23.40
239,"310,132",23.39
240,"311,132",23.51
241,"312,132",23.45
242,"313,132",23.47
243,"314,132",23.34
244,"315,132",23.47
245,"316,132",23.53
246,"317,132",23.55
247,"318,132",23.30
248,"319,132",23.60
249,"320,132",23.40
250,"321,132",23.48
251,"322,132",23.54
252,"323,132",23.25
253,"324,132",23.42
254,"325,132",23.47
255,"326,132",23.41
256,"327,132",23.55
257,"328,132",23.49
258,"329,132",23.31
259,"330,132",23.33
260,"331,132",23.49
261,"332,132",23.28
262,"333,131",23.47
263,"334,131",23.55
264,"335,131",23.51
265,"336,131",23.60
266,"337,131",23.40
267,"338,131",23.47
268,"339,131",23.47
269,"340,131",23.54
270,"341,131",23.43
271,"342,131",23.66
272,"343,131",23.59
273,"344,131",23.28
274,"345,131",23.61
275,"346,131",23.53
276,"347,131",23.51
277,"348,131",23.39
278,"349,131",23.49
279,"350,131",23.55
280,"351,131",23.27
281,"352,131",23.53
282,"353,131",23.58
283,"354,131",23.62
284,"355,131",23.41
285,"356,131",23.41
286,"357,131",23.37
287,"358,131",23.53
288,"359,131",23.49
289,"360,131",23.33
290,"361,131",23.38
291,"362,131",23.52
292,"363,131",23.50
293,"364,131",23.49
294,"365,131",23.50
295,"366,131",23.45
296,"367,131",23.40
297,"368,131",23.41
298,"369,131",23.30
299,"370,130",23.65
300,"371,130",23.31
301,"372,130",23.40
302,"373,130",23.48
303,"374,130",23.58
304,"375,130",23.38
305,"376,130",23.60
306,"377,130",23.37
307,"378,130",23.56
308,"379,130",23.49
309,"380,130",23.43
310,"381,130",23.43
311,"382,130",23.41
312,"383,130",23.40
313,"384,130",23.39
314,"385,130",23.43
315,"386,130",23.55
316,"387,130",23.41
317,"388,130",23.47
318,"389,130",23.52
319,"390,130",23.45
320,"391,130",23.45
321,"392,130",23.51
322,"393,130",23.50
323,"394,130",23.38
324,"395,130",23.45
325,"396,130",23.51
326,"397,130",23.49
327,"398,130",23.30
328,"399,130",23.47
329,"400,130",23.51
330,"401,130",23.45
331,"402,130",23.37
332,"403,130",23.21
333,"404,130",23.51
334,"405,130",23.65
335,"406,130",23.38
336,"407,129",23.41
